year,winner,runnerup,location,pos,name,value
1930,Uruguay,Argentina,Uruguay,1,China,1367485388
1934,Italy,Czechoslovakia,Italy,2,India,1251695584
1938,Italy,Hungary,France,3,European Union,513949445
1950,Uruguay,Brazil,Brazil,4,United States,321368864
1954,Germany FR,Hungary,Switzerland,5,Indonesia,255993674
1958,Brazil,Sweden,Sweden,6,Brazil,204259812
1962,Brazil,Czechoslovakia,Chile,7,Pakistan,199085847
1966,England,Germany FR,England,8,Nigeria,181562056
1970,Brazil,Italy,Mexico,9,Bangladesh,168957745
1974,Germany FR,Netherlands,Germany,10,Russia,142423773
